"","r1","r2","r3","r4"
"close.BTC",1,-1.73420434329161e-17,5.46706116800978e-18,2.80566477098898e-17
"close.ETH",-9.19538777932557e-17,1,5.26828461513986e-17,-9.34507066496875e-17
"close.XRP",7.06505594886677e-18,5.70151715003976e-18,1,2.82249514400813e-17
"close.BCH",-1.80411241501588e-16,0,4.33680868994202e-17,1
"close.LTC",1.98271691491258,-0.282955156434193,-0.971656755375989,0.527864342647749
"close.EOS",0.134029782847457,-0.274258833189527,0.387618435360219,-0.432003927369191
"close.BNB",-0.938441864071859,0.235069410269206,0.199369235156509,-0.0614186355571046
"close.XMR",-3.41787672039967,-1.08895639263269,0.535100042364087,-1.27166528038337
"close.XLM",0.565904149943097,0.105871685174363,-0.761606053538153,0.367834256322559
"close.ETC",0.704487350898754,0.307236765741518,0.00170219653551972,-0.424660416902888
